source,target,weight,type
A-1Pictures,AIC,0.13152461126082174,undirected
A-1Pictures,Arms,0.20196358450792445,undirected
A-1Pictures,Bones,0.1220106994424797,undirected
A-1Pictures,BrainsBase,0.10974187310246257,undirected
A-1Pictures,DLE,0.35502277317811365,undirected
A-1Pictures,DogaKobo,0.19208453242030654,undirected
A-1Pictures,Gainax,0.1527292312025584,undirected
A-1Pictures,Gonzo,0.13942918254017,undirected
A-1Pictures,J.C.Staff,0.09429366252538507,undirected
A-1Pictures,KyotoAnimation,0.20645435174666552,undirected
A-1Pictures,Madhouse,0.11130371274267715,undirected
A-1Pictures,NipponAnimation,0.23683287231135927,undirected
A-1Pictures,OLM,0.20734784105620893,undirected
A-1Pictures,ProductionI.G,0.12117381385772351,undirected
A-1Pictures,ProductionReed,0.14044386921610807,undirected
A-1Pictures,Satelight,0.15025524149527203,undirected
A-1Pictures,Seven,0.2715801918520985,undirected
A-1Pictures,Shaft,0.15643065263034298,undirected
A-1Pictures,Shin-EiAnimation,0.22379355129962933,undirected
A-1Pictures,SilverLink.,0.15779010116498027,undirected
A-1Pictures,Studio4°C,0.1416896979598858,undirected
A-1Pictures,StudioDeen,0.09097397794759159,undirected
A-1Pictures,StudioGallop,0.14051694135637344,undirected
A-1Pictures,StudioGhibli,0.2259741239486225,undirected
A-1Pictures,StudioHibari,0.12942314270974414,undirected
A-1Pictures,StudioPierrot,0.10639347292756506,undirected
A-1Pictures,Sunrise,0.21147097726771893,undirected
A-1Pictures,TMSEntertainment,0.16731931643863382,undirected
A-1Pictures,TatsunokoProduction,0.14757430427266272,undirected
A-1Pictures,ToeiAnimation,0.12400706382147278,undirected
A-1Pictures,Xebec,0.13293056182136523,undirected
A-1Pictures,Zexcs,0.16303510129106152,undirected
A-1Pictures,feel.,0.2280788974687463,undirected
A-1Pictures,ufotable,0.14126447343953177,undirected
AIC,Arms,0.20408698432972777,undirected
AIC,Bones,0.1304034763469708,undirected
AIC,BrainsBase,0.14902628731579076,undirected
AIC,DLE,0.37825293171152463,undirected
AIC,DogaKobo,0.2323856520669379,undirected
AIC,Gainax,0.08946825209015917,undirected
AIC,Gonzo,0.09068437969156316,undirected
AIC,J.C.Staff,0.11433843499059954,undirected
AIC,KyotoAnimation,0.25955524602202096,undirected
AIC,Madhouse,0.12186897867447169,undirected
AIC,NipponAnimation,0.24512992206681783,undirected
AIC,OLM,0.2364365519785824,undirected
AIC,ProductionI.G,0.10810917248851908,undirected
AIC,ProductionReed,0.08161264187473577,undirected
AIC,Satelight,0.09965842490067775,undirected
AIC,Seven,0.28550022594821345,undirected
AIC,Shaft,0.18287287338376942,undirected
AIC,Shin-EiAnimation,0.24473836949565256,undirected
AIC,SilverLink.,0.19456591509344312,undirected
AIC,Studio4°C,0.1509467284239666,undirected
AIC,StudioDeen,0.13564946367164055,undirected
AIC,StudioGallop,0.173444448395404,undirected
AIC,StudioGhibli,0.2501342657539256,undirected
AIC,StudioHibari,0.14383595372241498,undirected
AIC,StudioPierrot,0.13450134057743296,undirected
AIC,Sunrise,0.1374430854601858,undirected
AIC,TMSEntertainment,0.19207620516847734,undirected
AIC,TatsunokoProduction,0.12807861218363148,undirected
AIC,ToeiAnimation,0.1492115931262564,undirected
AIC,Xebec,0.09429897599300761,undirected
AIC,Zexcs,0.17877911740109684,undirected
AIC,feel.,0.23049331989883257,undirected
AIC,ufotable,0.19997263273245916,undirected
Arms,Bones,0.22499749588023954,undirected
Arms,BrainsBase,0.21938837951329473,undirected
Arms,DLE,0.42764424731014183,undirected
Arms,DogaKobo,0.25754640200025775,undirected
Arms,Gainax,0.213482089750154,undirected
Arms,Gonzo,0.20850085434077398,undirected
Arms,J.C.Staff,0.20027795604468399,undirected
Arms,KyotoAnimation,0.30117398584138444,undirected
Arms,Madhouse,0.20133459086323482,undirected
Arms,NipponAnimation,0.28946435532049875,undirected
Arms,OLM,0.27218927518576513,undirected
Arms,ProductionI.G,0.22304578074711925,undirected
Arms,ProductionReed,0.2250618321000726,undirected
Arms,Satelight,0.23704522399407352,undirected
Arms,Seven,0.2955702147242892,undirected
Arms,Shaft,0.23641062666410137,undirected
Arms,Shin-EiAnimation,0.309773254484358,undirected
Arms,SilverLink.,0.22721473050501903,undirected
Arms,Studio4°C,0.2282268593686523,undirected
Arms,StudioDeen,0.20859210475947734,undirected
Arms,StudioGallop,0.2417921541626306,undirected
Arms,StudioGhibli,0.28760247720469206,undirected
Arms,StudioHibari,0.2002448856292252,undirected
Arms,StudioPierrot,0.2206642497032216,undirected
Arms,Sunrise,0.27818523567421044,undirected
Arms,TMSEntertainment,0.25486601354550253,undirected
